evaluation_id,order_id,rating,content,evaluation_time
48866,171,5,价格便宜实惠，物超所值，性价比超高！,2024-12-02 00:27:59
48867,172,5,价格亲民，很值得，性价比超高！,2024-12-03 03:28:06
48868,173,5,,2024-12-02 05:28:10
48869,174,5,,2024-12-02 01:28:21
48870,175,5,,2024-12-02 03:28:22
48871,177,5,第一次尝试，让我惊讶，会再次购买。,2024-12-03 00:29:33
48872,178,5,,2024-12-03 01:29:56
48873,179,4,,2024-12-02 18:30:14
48874,180,4,送餐员特别友好，服务真的一级棒。,2024-12-03 03:30:38
48875,181,1,,2024-12-01 19:30:54
48876,182,5,食材爽口，有嚼劲，味道真的赞不绝口！,2024-12-02 01:31:22
48877,183,4,整体体验完美，特别满意度爆表！,2024-12-03 09:32:16
48878,184,4,整体体验特别好，特别满意度爆表！,2024-12-03 06:32:28
48879,187,5,配送无延误，服务态度周到，体验愉快。,2024-12-02 15:33:48
48880,188,5,菜品绝佳，令人满意，我非常开心！,2024-12-01 19:34:47
48881,191,4,,2024-12-01 14:36:06
48882,192,3,,2024-12-03 01:36:25
48883,193,4,,2024-12-02 21:36:27
48884,194,4,包装精美，餐具干净，细节无可挑剔。,2024-12-01 19:36:38
48885,197,4,价格划算，不亏，性价比超高！,2024-12-02 21:37:19
48886,199,5,包装严密，餐具齐全，细节令人感动。,2024-12-03 10:38:09
48887,200,5,餐厅环境整洁，用餐氛围让人放松。,2024-12-02 22:38:57
48888,202,4,,2024-12-02 18:40:20
48889,203,4,,2024-12-01 15:40:46
48890,205,4,,2024-12-02 06:41:31
48891,206,5,包装高端大气，餐具卫生，细节无可挑剔。,2024-12-02 23:41:34
48892,207,4,价格划算，很值得，性价比超高！,2024-12-02 12:41:42
48893,208,1,食材过期，过硬，味道无法接受。,2024-12-02 01:41:59
48894,210,4,,2024-12-03 05:42:52
48895,211,4,,2024-12-02 10:43:19
48896,212,4,,2024-12-02 22:43:26
48897,213,4,,2024-12-01 20:43:33
48898,214,4,,2024-12-02 20:43:39
48899,217,3,菜品寡淡，不值这个价，让我很后悔。,2024-12-03 06:45:54
48900,218,4,,2024-12-02 05:46:01
48901,219,5,,2024-12-01 16:46:05
48902,222,5,第一次尝试，值得推荐，会常点。,2024-12-02 07:46:39
48903,223,5,,2024-12-02 23:47:35
48904,224,4,,2024-12-02 07:47:45
48905,225,4,太香喷喷了，超乎想象！,2024-12-03 01:48:01
48906,226,4,餐厅环境安静，用餐氛围不错。,2024-12-02 18:48:05
48907,227,5,餐厅环境整洁，用餐氛围温暖。,2024-12-03 06:48:17
48908,229,4,,2024-12-02 12:48:34
48909,230,3,服务员冷漠，态度让我无语。,2024-12-03 06:48:36
48910,231,3,包装破损，凌乱，影响了体验。,2024-12-03 03:48:37
48911,232,4,太香喷喷了，完全超预期！,2024-12-02 11:49:44
48912,234,4,价格超值，物超所值，性价比超高！,2024-12-03 09:51:12
48913,235,5,价格划算，物超所值，性价比超高！,2024-12-01 21:51:12
48914,236,4,第一次尝试，意外的惊喜，会再次购买。,2024-12-01 19:51:26
48915,238,1,,2024-12-01 21:52:07
48916,239,5,包装整洁，餐具干净，细节无可挑剔。,2024-12-02 12:52:25
48917,243,4,,2024-12-03 08:53:39
48918,244,5,,2024-12-01 15:54:01
48919,245,4,配送提前送达，服务态度周到，体验完美。,2024-12-02 16:54:25
48920,246,4,,2024-12-02 22:54:48
48921,247,3,菜品油腻，量不足，让我很不满。,2024-12-03 03:54:56
48922,248,4,,2024-12-03 07:55:34
48923,249,5,餐厅环境温馨，用餐氛围有格调。,2024-12-01 13:55:55
48924,251,5,配送准时，服务态度周到，体验很棒。,2024-12-02 07:56:51
48925,252,5,包装整洁，餐具干净，细节细节到位。,2024-12-03 07:57:21
48926,253,5,,2024-12-02 04:59:23
48927,255,4,,2024-12-03 10:00:00
48928,256,4,,2024-12-02 22:00:07
48929,258,4,,2024-12-02 19:01:16
48930,259,4,配送提前送达，服务态度贴心，体验完美。,2024-12-01 16:01:23
48931,260,5,,2024-12-02 08:01:25
48932,261,5,,2024-12-03 03:01:46
48933,263,5,,2024-12-03 03:02:01
48934,265,5,菜品惊艳，适中，我非常满意！,2024-12-02 16:02:39
48935,266,5,包装严密，餐具齐全，细节令人感动。,2024-12-02 09:02:59
48936,268,5,配送无延误，服务态度热情，体验很棒。,2024-12-02 07:04:51
48937,271,4,,2024-12-02 19:05:42
48938,272,5,包装环保，餐具齐全，细节细节到位。,2024-12-03 13:05:54
48939,273,5,配送非常快，服务态度专业，体验超出预期。,2024-12-01 20:06:03
48940,274,4,太美味了，出乎意料！,2024-12-02 22:06:36
48941,275,4,第一次尝试，意外的惊喜，会继续支持。,2024-12-03 13:06:48
48942,276,4,食材充满活力，入口即化，味道真的惊艳！,2024-12-03 08:07:00
48943,277,5,菜品入味，分量十足，我非常满意！,2024-12-02 10:07:15
48944,279,5,配送提前送达，服务态度贴心，体验完美。,2024-12-02 16:07:34
48945,281,5,菜品可口，恰到好处，我非常满足！,2024-12-02 12:08:17
48946,284,5,,2024-12-03 00:09:04
48947,285,5,,2024-12-01 21:09:37
48948,286,5,包装环保，餐具贴心，细节无可挑剔。,2024-12-02 18:09:53
48949,287,5,,2024-12-02 16:10:04
48950,288,1,,2024-12-03 11:10:05
48951,289,5,,2024-12-01 19:10:05
48952,290,1,,2024-12-02 23:10:33
48953,291,1,等待时间久等，拖延，不太满意。,2024-12-01 20:10:51
48954,292,5,,2024-12-02 17:10:51
48955,294,5,第一次尝试，值得推荐，会常点。,2024-12-02 14:11:08
48956,298,4,,2024-12-03 03:11:53
48957,299,5,配送非常快，服务态度专业，体验无可挑剔。,2024-12-02 09:11:54
48958,300,4,菜品绝佳，令人满意，我非常惊喜！,2024-12-02 23:12:38
48959,301,5,太美味了，意外地好！,2024-12-02 03:12:57
48960,304,5,,2024-12-02 02:13:28
48961,305,5,第一次尝试，比预期好，会常点。,2024-12-02 14:13:32
48962,306,5,,2024-12-03 00:13:56
48963,307,4,整体体验值得点赞，特别无可挑剔！,2024-12-01 17:14:09
48964,308,1,等待时间太久，拖延，不太满意。,2024-12-01 22:15:11
48965,309,5,,2024-12-03 00:15:13
48966,311,4,,2024-12-01 15:15:24
48967,312,4,第一次尝试，意外的惊喜，会再来光顾。,2024-12-03 12:15:40
48968,313,5,,2024-12-03 05:16:09
48969,314,5,太好吃了，意外地好！,2024-12-01 20:16:30
48970,315,1,,2024-12-02 03:17:34
48971,316,4,,2024-12-03 11:17:50
48972,317,5,价格合理，不亏，性价比超高！,2024-12-03 11:17:55
48973,319,5,太香喷喷了，很惊喜！,2024-12-03 06:18:09
48974,320,5,第一次尝试，让我惊讶，会再次购买。,2024-12-02 09:18:32
48975,321,1,,2024-12-02 13:18:32
48976,328,5,包装严密，餐具齐全，细节令人感动。,2024-12-02 00:20:07
48977,329,4,第一次尝试，比预期好，会继续支持。,2024-12-02 21:20:17
48978,330,4,,2024-12-02 19:20:20
48979,331,2,食材过期，太软，味道难吃。,2024-12-01 19:20:27
48980,332,5,配送无延误，服务态度贴心，体验愉快。,2024-12-03 02:20:59
48981,333,4,送餐员专业，服务真的值得表扬。,2024-12-02 09:21:00
48982,334,4,,2024-12-03 02:21:14
48983,336,4,,2024-12-02 17:21:25
48984,337,5,,2024-12-02 18:21:27
48985,340,4,菜品可口，分量十足，我非常开心！,2024-12-02 02:23:05
48986,341,4,包装环保，餐具干净，细节细节到位。,2024-12-02 13:23:16
48987,342,5,,2024-12-02 21:23:37
48988,343,5,,2024-12-03 07:23:41
48989,344,5,餐厅环境整洁，用餐氛围让人放松。,2024-12-02 04:23:45
48990,345,4,第一次尝试，超乎想象，会再来光顾。,2024-12-03 10:23:51
48991,346,5,太美味了，意外地好！,2024-12-03 01:24:14
48992,347,4,整体体验值得点赞，特别值得！,2024-12-03 07:24:18
48993,349,5,食材新鲜，入口即化，味道真的一流！,2024-12-01 21:24:47
48994,350,2,,2024-12-02 00:25:05
48995,353,5,包装环保，餐具实用，细节无可挑剔。,2024-12-02 18:26:24
48996,354,5,,2024-12-02 05:26:27
48997,357,4,,2024-12-03 07:26:53
48998,358,4,,2024-12-02 06:26:58
48999,359,4,价格合理，不亏，性价比超高！,2024-12-01 20:27:06
49000,360,4,,2024-12-02 20:27:20
49001,361,5,,2024-12-03 02:27:30
49002,362,1,,2024-12-03 09:27:37
49003,364,4,送餐员专业，服务真的赞。,2024-12-01 23:27:47
49004,365,4,食材健康，软硬适中，味道真的让人回味！,2024-12-02 05:28:10
49005,366,4,送餐员热心，服务真的赞。,2024-12-01 15:28:38
49006,367,5,,2024-12-01 23:29:01
49007,368,4,,2024-12-03 10:29:05
49008,369,4,价格亲民，超高性价比，性价比超高！,2024-12-03 12:29:22
49009,370,4,,2024-12-01 20:29:35
49010,372,4,,2024-12-03 04:00:13
49011,373,5,,2024-12-02 02:01:40
49012,374,5,餐厅环境舒适，用餐氛围特别棒。,2024-12-03 04:01:45
49013,377,4,配送快速，服务态度贴心，体验超出预期。,2024-12-01 23:04:21
49014,378,5,,2024-12-02 13:04:27
49015,381,1,,2024-12-03 02:05:24
49016,385,4,,2024-12-02 01:06:52
49017,387,5,,2024-12-03 06:08:19
49018,388,4,,2024-12-02 10:09:11
49019,389,4,,2024-12-02 15:09:19
49020,390,4,,2024-12-02 01:09:40
49021,391,5,,2024-12-02 17:09:43
49022,392,5,,2024-12-03 17:10:27
49023,393,3,本来期望期待满满，结果很差。,2024-12-02 15:12:47
49024,394,4,配送非常快，服务态度贴心，体验无可挑剔。,2024-12-02 08:13:03
49025,395,5,餐厅环境温馨，用餐氛围温暖。,2024-12-02 00:13:33
49026,396,4,,2024-12-03 09:13:44
49027,397,5,,2024-12-03 02:14:10
49028,398,5,,2024-12-03 12:14:20
49029,399,5,配送快速，服务态度热情，体验很棒。,2024-12-02 13:14:35
49030,402,5,,2024-12-02 12:15:45
49031,403,5,包装环保，餐具实用，细节专业水准。,2024-12-03 02:16:24
49032,404,4,,2024-12-02 04:17:21
49033,407,5,餐厅环境温馨，用餐氛围不错。,2024-12-01 23:20:53
49034,409,4,,2024-12-03 11:23:11
49035,410,5,,2024-12-03 17:23:42
49036,412,5,,2024-12-02 11:25:14
49037,413,5,菜品香浓，令人满意，我非常满足！,2024-12-03 11:25:33
49038,414,4,配送提前送达，服务态度友好，体验超出预期。,2024-12-02 06:25:55
49039,416,1,,2024-12-03 01:27:03
49040,417,5,送餐员亲切，服务真的超级棒。,2024-12-02 19:27:21
49041,418,4,第一次尝试，比预期好，会再来光顾。,2024-12-03 02:28:37
49042,419,5,,2024-12-03 08:29:09
49043,420,5,,2024-12-01 18:30:33
49044,421,4,,2024-12-02 23:30:34
49045,422,3,包装不环保，油腻腻，影响了体验。,2024-12-01 21:30:37
49046,423,5,菜品香浓，分量十足，我非常喜欢！,2024-12-02 16:31:04
49047,425,4,,2024-12-02 02:31:12
49048,427,5,配送准时，服务态度友好，体验愉快。,2024-12-02 16:31:57
49049,428,4,,2024-12-03 07:34:49
49050,429,4,,2024-12-02 17:35:41
49051,431,4,整体体验特别好，特别满意度爆表！,2024-12-01 22:36:32
49052,432,4,,2024-12-03 17:37:02
49053,433,5,,2024-12-03 01:37:40
49054,434,5,,2024-12-02 11:38:03
49055,435,5,,2024-12-03 10:39:05
49056,436,5,,2024-12-01 21:39:59
49057,437,5,,2024-12-03 13:40:49
49058,438,5,,2024-12-02 07:41:26
49059,439,4,,2024-12-03 02:42:31
49060,440,3,,2024-12-02 21:43:32
49061,441,4,,2024-12-03 08:45:19
49062,442,5,,2024-12-02 07:45:46
49063,444,4,,2024-12-03 17:46:31
49064,445,5,食材新鲜，软硬适中，味道真的一流！,2024-12-01 21:46:48
49065,446,4,,2024-12-02 16:46:57
49066,447,4,,2024-12-01 23:48:00
49067,449,5,,2024-12-01 23:50:51
49068,450,5,,2024-12-02 05:52:52
49069,451,5,第一次尝试，意外的惊喜，会再来光顾。,2024-12-03 11:52:59
49070,452,3,,2024-12-03 00:53:13
49071,453,5,太香喷喷了，意外地好！,2024-12-02 22:53:30
49072,454,4,包装整洁，餐具贴心，细节令人感动。,2024-12-01 19:54:52
49073,455,4,,2024-12-02 13:56:23
49074,456,4,,2024-12-03 14:57:40
49075,458,5,太惊艳了，意外地好！,2024-12-02 13:58:27
49076,459,4,食材健康，层次丰富，味道真的赞不绝口！,2024-12-02 04:58:46
49077,460,5,菜品惊艳，令人满意，我非常满足！,2024-12-03 11:59:21
49078,461,4,第一次尝试，意外的惊喜，会继续支持。,2024-12-03 04:59:40
49079,463,5,,2024-12-03 17:01:05
49080,464,5,菜品丰富，恰到好处，我非常满意！,2024-12-03 03:01:06
49081,465,4,,2024-12-02 20:01:17
49082,467,5,包装高端大气，餐具齐全，细节令人感动。,2024-12-03 00:03:09
49083,468,4,,2024-12-02 15:03:14
49084,469,4,配送快速，服务态度友好，体验超出预期。,2024-12-02 10:04:45
49085,470,5,整体体验完美，特别无可挑剔！,2024-12-02 12:05:05
49086,471,4,,2024-12-03 10:05:33
49087,475,4,送餐员亲切，服务真的很贴心。,2024-12-03 18:08:58
49088,476,5,餐厅环境有氛围，用餐氛围有格调。,2024-12-02 20:09:03
49089,477,5,,2024-12-03 05:09:49
49090,478,5,,2024-12-03 15:10:36
49091,480,5,,2024-12-02 19:14:02
49092,481,5,第一次尝试，让我惊讶，会再来光顾。,2024-12-03 09:14:27
49093,482,5,,2024-12-02 17:15:21
49094,483,3,,2024-12-03 14:15:21
49095,485,4,,2024-12-02 02:15:53
49096,486,5,,2024-12-01 21:15:55
49097,488,4,整体体验特别好，特别满意度爆表！,2024-12-03 09:19:26
49098,489,4,,2024-12-03 11:20:07
49099,491,4,,2024-12-03 10:22:20
49100,492,5,送餐员特别友好，服务真的一级棒。,2024-12-02 20:24:12
49101,493,5,,2024-12-02 07:24:26
49102,494,3,味道太淡，完全差距大。,2024-12-03 02:24:40
49103,495,4,菜品鲜美，令人满意，我非常满意！,2024-12-02 19:25:35
49104,496,5,,2024-12-02 22:25:40
49105,497,5,,2024-12-02 11:26:09
49106,501,4,,2024-12-01 20:29:08
49107,502,5,,2024-12-02 01:29:14
49108,504,5,,2024-12-02 22:30:25
49109,505,5,整体体验五星好评，特别值得！,2024-12-02 17:31:02
49110,506,4,,2024-12-03 01:32:18
49111,507,5,,2024-12-03 05:32:56
49112,509,4,,2024-12-03 06:34:22
49113,511,4,第一次尝试，超乎想象，会再次购买。,2024-12-02 19:37:28
49114,512,4,包装精美，餐具实用，细节令人感动。,2024-12-02 11:38:04
49115,513,4,食材新鲜，入口即化，味道真的特别好吃！,2024-12-02 03:38:07
49116,514,4,,2024-12-03 13:39:06
49117,516,5,食材新鲜，口感细腻，味道真的特别好吃！,2024-12-03 12:39:49
49118,517,5,价格亲民，超满意，性价比超高！,2024-12-03 02:39:53
49119,518,5,,2024-12-03 04:39:58
49120,520,5,太好吃了，意外地好！,2024-12-02 20:40:28
49121,521,5,餐厅环境舒适，用餐氛围温暖。,2024-12-02 23:41:23
49122,522,4,餐厅环境整洁，用餐氛围让人放松。,2024-12-02 10:41:52
49123,523,3,,2024-12-03 13:42:02
49124,524,5,菜品可口，恰到好处，我非常惊喜！,2024-12-02 17:43:55
49125,526,5,整体体验非常棒，特别无可挑剔！,2024-12-03 03:44:54
49126,528,5,食材新鲜，口感细腻，味道真的赞不绝口！,2024-12-01 19:45:39
49127,529,4,配送快速，服务态度专业，体验完美。,2024-12-03 16:45:39
49128,530,3,,2024-12-03 07:45:48
49129,531,4,送餐员热心，服务真的值得表扬。,2024-12-03 14:45:52
49130,534,4,,2024-12-02 07:46:43
49131,535,4,太美味了，超乎想象！,2024-12-02 23:47:12
49132,536,4,,2024-12-02 04:48:32
49133,537,5,菜品可口，适中，我非常满意！,2024-12-02 03:48:35
49134,538,5,太惊艳了，很惊喜！,2024-12-02 11:49:27
49135,539,5,第一次尝试，超乎想象，会再来光顾。,2024-12-02 03:51:28
49136,541,5,,2024-12-03 11:51:47
49137,542,4,,2024-12-03 04:52:16
49138,544,5,,2024-12-03 15:52:33
49139,545,3,等待时间久等，太迟，不太满意。,2024-12-02 22:53:15
49140,546,4,价格超值，不亏，性价比超高！,2024-12-01 22:53:49
49141,548,4,包装高端大气，餐具卫生，细节很用心。,2024-12-03 00:54:20
49142,549,5,包装高端大气，餐具齐全，细节令人感动。,2024-12-03 13:55:02
49143,550,5,菜品入味，恰到好处，我非常惊喜！,2024-12-02 23:55:30
49144,553,1,等待时间效率低，非常慢，不太满意。,2024-12-02 10:57:09
49145,554,4,,2024-12-03 11:57:20
49146,557,2,味道怪味，完全差太多。,2024-12-02 07:59:21
49147,560,5,,2024-12-03 10:02:12
49148,564,5,菜品可口，恰到好处，我非常开心！,2024-12-02 03:04:30
49149,565,4,第一次尝试，超乎想象，会再次购买。,2024-12-02 14:04:45
49150,566,4,,2024-12-02 19:05:10
49151,567,4,,2024-12-02 08:06:53
49152,569,4,餐厅环境整洁，用餐氛围温暖。,2024-12-03 13:08:02
49153,570,5,包装精美，餐具齐全，细节专业水准。,2024-12-02 21:08:12
49154,571,4,,2024-12-01 20:08:16
49155,573,5,包装整洁，餐具齐全，细节令人感动。,2024-12-02 21:08:50
49156,574,5,价格亲民，超满意，性价比超高！,2024-12-02 23:09:10
49157,577,5,价格划算，超高性价比，性价比超高！,2024-12-02 08:11:49
49158,579,4,,2024-12-02 23:13:04
49159,580,5,包装整洁，餐具齐全，细节很用心。,2024-12-02 01:13:23
49160,581,5,,2024-12-03 10:14:23
49161,583,1,,2024-12-03 05:14:29
49162,584,5,,2024-12-02 02:15:01
49163,586,5,,2024-12-02 20:18:29
49164,587,2,配送拖延，敷衍，体验糟糕。,2024-12-02 04:19:11
49165,589,5,,2024-12-02 13:20:57
49166,592,5,,2024-12-02 09:22:44
49167,593,5,,2024-12-02 11:24:20
49168,595,4,配送无延误，服务态度热情，体验超出预期。,2024-12-03 10:27:08
49169,596,4,价格合理，物超所值，性价比超高！,2024-12-01 21:27:35
49170,597,1,,2024-12-03 08:27:45
49171,599,5,太美味了，意外地好！,2024-12-03 04:28:06
49172,600,5,,2024-12-02 01:28:26
49173,601,2,,2024-12-02 20:30:36
49174,603,5,菜品丰富，适中，我非常惊喜！,2024-12-02 07:32:48
49175,604,4,食材健康，层次丰富，味道真的惊艳！,2024-12-03 01:33:03
49176,606,5,配送快速，服务态度专业，体验无可挑剔。,2024-12-02 14:33:36
49177,607,5,价格便宜实惠，物超所值，性价比超高！,2024-12-02 01:34:03
49178,610,4,整体体验值得点赞，特别推荐！,2024-12-02 15:36:09
49179,611,5,菜品可口，适中，我非常满足！,2024-12-03 02:37:06
49180,612,5,价格超值，物超所值，性价比超高！,2024-12-01 21:37:48
49181,614,3,,2024-12-02 05:40:59
49182,615,4,太让人陶醉了，完全超预期！,2024-12-03 16:41:05
49183,619,5,菜品丰富，令人满意，我非常满足！,2024-12-01 22:47:45
49184,620,5,,2024-12-02 20:48:24
49185,621,4,价格划算，超满意，性价比超高！,2024-12-02 12:48:35
49186,622,5,,2024-12-02 07:48:37
49187,623,4,价格合理，物超所值，性价比超高！,2024-12-02 02:49:16
49188,624,4,整体体验特别好，特别满意！,2024-12-03 19:49:25
49189,626,5,餐厅环境温馨，用餐氛围让人放松。,2024-12-02 22:50:41
49190,627,5,配送非常快，服务态度友好，体验很棒。,2024-12-03 10:52:31
49191,628,5,,2024-12-02 12:53:18
49192,630,5,食材色香俱佳，口感细腻，味道真的赞不绝口！,2024-12-02 10:54:43
49193,631,5,太好吃了，很惊喜！,2024-12-02 19:55:35
49194,633,4,,2024-12-02 20:57:00
49195,635,4,,2024-12-02 02:58:19
49196,637,5,,2024-12-02 03:58:24
49197,639,2,本来期望很高，结果不如预期。,2024-12-02 11:58:57
49198,640,4,太美味了，完全超预期！,2024-12-02 02:59:01
49199,642,4,食材新鲜，层次丰富，味道真的让人回味！,2024-12-03 06:00:48
49200,644,4,太美味了，完全超预期！,2024-12-02 00:01:50
49201,645,5,,2024-12-02 12:02:21
49202,646,4,,2024-12-02 14:02:36
49203,647,4,太好吃了，超乎想象！,2024-12-03 16:03:03
49204,648,5,,2024-12-02 14:03:07
49205,649,4,菜品绝佳，适中，我非常开心！,2024-12-02 03:03:09
49206,650,5,餐厅环境整洁，用餐氛围不错。,2024-12-03 00:03:18
49207,651,5,太美味了，意外地好！,2024-12-02 20:03:54
49208,652,1,,2024-12-03 07:04:13
49209,653,5,,2024-12-02 02:04:14
49210,657,4,,2024-12-02 16:04:52
49211,658,1,,2024-12-03 05:05:22
49212,659,4,,2024-12-02 05:06:33
49213,660,5,第一次尝试，比预期好，会推荐给朋友。,2024-12-03 15:06:41
49214,663,4,包装严密，餐具齐全，细节专业水准。,2024-12-03 13:07:41
49215,664,3,,2024-12-02 23:07:58
49216,665,4,,2024-12-02 07:08:27
49217,666,4,,2024-12-02 17:08:48
49218,667,4,,2024-12-02 22:09:14
49219,668,4,,2024-12-02 12:09:33
