material_id,name,allergens,calorie,carbon_emission,protein,fat,carbohydrate
95,鸡肉,,2.13,0.07,0.29,0.14,0.0
96,牛奶,牛奶,0.37,0.02,0.04,0.01,0.05
97,白菜,,0.15,0.01,0.01,0.01,0.02
98,牛奶,牛奶,0.37,0.03,0.02,0.02,0.04
99,牛奶,牛奶,0.51,0.02,0.03,0.01,0.04
100,花生,花生,5.91,0.03,0.25,0.48,0.15
101,大豆,大豆,4.95,0.02,0.38,0.21,0.3
102,花生,花生,5.44,0.03,0.28,0.49,0.16
103,黄瓜,,0.15,0.0,0.01,0.01,0.04
104,牛肉,,2.32,0.27,0.27,0.17,0.01
105,西红柿,,0.25,0.0,0.01,0.0,0.04
106,牛肉,,2.36,0.27,0.24,0.14,0.01
107,猪肉,,2.26,0.13,0.24,0.15,0.0
108,鸡肉,,2.15,0.06,0.26,0.15,0.01
109,胡萝卜,,0.42,0.01,0.02,0.01,0.1
110,西红柿,,0.16,0.01,0.02,0.0,0.05
111,猪肉,,2.52,0.13,0.22,0.15,0.01
112,鸡肉,,2.34,0.08,0.24,0.13,0.01
113,黄瓜,,0.12,0.0,0.01,0.01,0.03
114,胡萝卜,,0.4,0.0,0.02,0.0,0.09
115,猪肉,,2.22,0.12,0.23,0.15,0.0
116,西红柿,,0.22,0.01,0.02,0.0,0.04
117,白菜,,0.16,0.0,0.01,0.01,0.01
118,西红柿,,0.19,0.01,0.02,0.0,0.03
119,鸡蛋,鸡蛋,1.58,0.05,0.15,0.12,0.02
120,小麦,小麦,3.28,0.02,0.13,0.02,0.68
121,小麦,小麦,3.42,0.03,0.12,0.02,0.62
122,牛肉,,2.5,0.29,0.27,0.12,0.0
123,牛肉,,2.78,0.26,0.27,0.15,0.0
124,鸡蛋,鸡蛋,1.81,0.06,0.14,0.09,0.01
125,鸡肉,,2.35,0.08,0.26,0.16,0.0
126,西红柿,,0.2,0.01,0.01,0.0,0.03
127,白菜,,0.16,0.01,0.02,0.01,0.03
128,牛奶,牛奶,0.41,0.02,0.03,0.01,0.04
129,牛肉,,2.49,0.25,0.26,0.14,0.0
130,大豆,大豆,4.14,0.01,0.4,0.21,0.29
131,黄瓜,,0.13,0.0,0.01,0.01,0.04
132,猪肉,,2.53,0.11,0.2,0.12,0.0
133,鸡蛋,鸡蛋,1.55,0.05,0.12,0.11,0.01
134,白菜,,0.12,0.0,0.01,0.0,0.02
135,黄瓜,,0.19,0.01,0.02,0.0,0.04
136,鸡蛋,鸡蛋,1.48,0.05,0.14,0.12,0.02
137,鸡蛋,鸡蛋,1.48,0.05,0.12,0.09,0.01
138,小麦,小麦,3.01,0.03,0.12,0.02,0.69
139,白菜,,0.12,0.01,0.01,0.0,0.02
140,胡萝卜,,0.4,0.02,0.02,0.01,0.1
141,西红柿,,0.21,0.01,0.01,0.01,0.04
142,白菜,,0.15,0.0,0.02,0.0,0.01
143,胡萝卜,,0.42,0.01,0.01,0.0,0.1
144,猪肉,,2.5,0.12,0.22,0.15,0.0
145,牛肉,,2.67,0.26,0.27,0.14,0.01
146,牛奶,牛奶,0.36,0.02,0.03,0.01,0.06
147,牛奶,牛奶,0.43,0.02,0.03,0.01,0.05
148,胡萝卜,,0.38,0.02,0.01,0.0,0.11
149,西红柿,,0.16,0.0,0.01,0.0,0.05
150,胡萝卜,,0.39,0.02,0.02,0.0,0.11
151,西红柿,,0.18,0.0,0.01,0.0,0.04
152,猪肉,,2.49,0.14,0.19,0.14,0.01
153,牛肉,,2.58,0.27,0.26,0.15,0.0
154,大豆,大豆,4.45,0.03,0.39,0.19,0.3
155,猪肉,,2.23,0.11,0.25,0.13,0.0
156,小麦,小麦,2.99,0.01,0.13,0.03,0.7
157,花生,花生,5.76,0.02,0.25,0.51,0.14
158,牛肉,,2.26,0.28,0.26,0.16,0.01
159,小麦,小麦,3.29,0.01,0.14,0.01,0.68
160,黄瓜,,0.19,0.01,0.01,0.01,0.05
161,鸡蛋,鸡蛋,1.51,0.05,0.15,0.1,0.02
162,牛肉,,2.38,0.26,0.25,0.14,0.01
163,小麦,小麦,3.35,0.02,0.15,0.01,0.71
164,牛肉,,2.42,0.27,0.26,0.14,0.0
165,西红柿,,0.15,0.01,0.01,0.01,0.04
166,牛肉,,2.57,0.26,0.26,0.13,0.0
167,猪肉,,2.18,0.14,0.22,0.16,0.0
168,花生,花生,5.24,0.03,0.26,0.5,0.17
169,鸡肉,,2.24,0.06,0.25,0.15,0.01
170,猪肉,,2.53,0.14,0.22,0.15,0.01
171,西红柿,,0.22,0.01,0.02,0.01,0.04
172,胡萝卜,,0.42,0.02,0.02,0.01,0.11
173,胡萝卜,,0.42,0.01,0.01,0.01,0.09
174,花生,花生,5.44,0.03,0.26,0.5,0.15
175,猪肉,,2.36,0.14,0.2,0.13,0.0
176,鸡肉,,2.36,0.06,0.27,0.13,0.01
177,鸡蛋,鸡蛋,1.47,0.05,0.14,0.09,0.02
178,牛奶,牛奶,0.35,0.02,0.03,0.02,0.05
179,胡萝卜,,0.34,0.0,0.01,0.0,0.12
180,牛奶,牛奶,0.44,0.03,0.02,0.01,0.04
181,猪肉,,2.19,0.14,0.21,0.12,0.0
182,大豆,大豆,4.43,0.03,0.37,0.2,0.31
183,猪肉,,2.34,0.11,0.22,0.12,0.0
184,黄瓜,,0.14,0.0,0.02,0.0,0.04
185,鸡肉,,2.34,0.08,0.25,0.15,0.01
186,鸡蛋,鸡蛋,1.67,0.06,0.14,0.13,0.02
187,西红柿,,0.22,0.0,0.02,0.0,0.04
188,大豆,大豆,4.16,0.03,0.37,0.21,0.33
189,鸡肉,,2.59,0.08,0.28,0.15,0.0
190,胡萝卜,,0.37,0.02,0.01,0.01,0.12
191,大豆,大豆,4.59,0.01,0.41,0.2,0.32
192,牛肉,,2.64,0.27,0.27,0.17,0.0
193,白菜,,0.11,0.01,0.02,0.01,0.03
194,白菜,,0.13,0.01,0.01,0.0,0.02
195,花生,花生,5.86,0.02,0.29,0.46,0.15
196,胡萝卜,,0.38,0.02,0.01,0.01,0.09
197,西红柿,,0.18,0.0,0.01,0.01,0.04
198,鸡肉,,2.43,0.08,0.26,0.16,0.01
199,西红柿,,0.18,0.0,0.02,0.0,0.04
200,花生,花生,5.23,0.03,0.29,0.49,0.15
201,猪肉,,2.25,0.12,0.22,0.13,0.0
202,小麦,小麦,3.6,0.02,0.12,0.02,0.7
203,大豆,大豆,4.17,0.03,0.35,0.19,0.29
204,牛肉,,2.44,0.28,0.23,0.17,0.01
205,猪肉,,2.51,0.12,0.23,0.15,0.01
206,胡萝卜,,0.42,0.02,0.01,0.0,0.1
207,黄瓜,,0.13,0.01,0.02,0.0,0.05
208,猪肉,,2.18,0.12,0.23,0.13,0.01
209,大豆,大豆,4.56,0.03,0.37,0.2,0.3
210,猪肉,,2.31,0.13,0.22,0.12,0.01
211,西红柿,,0.2,0.0,0.01,0.01,0.04
212,小麦,小麦,3.21,0.01,0.11,0.01,0.71
213,猪肉,,2.55,0.12,0.2,0.16,0.01
214,黄瓜,,0.14,0.0,0.01,0.0,0.05
215,胡萝卜,,0.43,0.01,0.01,0.01,0.08
216,鸡蛋,鸡蛋,1.41,0.05,0.12,0.09,0.02
217,鸡肉,,2.44,0.08,0.29,0.13,0.01
218,黄瓜,,0.13,0.0,0.02,0.0,0.05
219,鸡肉,,2.69,0.08,0.27,0.15,0.01
220,鸡蛋,鸡蛋,1.82,0.04,0.13,0.1,0.01
221,鸡蛋,鸡蛋,1.38,0.05,0.14,0.12,0.02
222,小麦,小麦,3.27,0.03,0.15,0.02,0.62
223,白菜,,0.14,0.0,0.01,0.01,0.03
224,黄瓜,,0.15,0.01,0.01,0.0,0.05
225,西红柿,,0.16,0.0,0.02,0.0,0.05
226,猪肉,,2.45,0.1,0.22,0.13,0.0
227,黄瓜,,0.14,0.01,0.01,0.01,0.05
228,白菜,,0.13,0.01,0.02,0.0,0.02
229,鸡蛋,鸡蛋,1.72,0.04,0.14,0.12,0.01
230,鸡蛋,鸡蛋,1.63,0.06,0.14,0.12,0.01
231,牛奶,牛奶,0.46,0.02,0.03,0.01,0.05
232,大豆,大豆,4.51,0.02,0.35,0.19,0.32
233,牛肉,,2.38,0.27,0.26,0.14,0.0
234,白菜,,0.14,0.0,0.02,0.0,0.03
235,猪肉,,2.52,0.13,0.23,0.13,0.0
236,猪肉,,2.7,0.13,0.22,0.13,0.0
237,鸡肉,,2.37,0.07,0.26,0.15,0.0
238,猪肉,,2.38,0.11,0.2,0.15,0.01
239,花生,花生,5.27,0.02,0.24,0.49,0.16
240,花生,花生,5.28,0.04,0.28,0.46,0.15
241,牛奶,牛奶,0.44,0.01,0.03,0.02,0.04
242,白菜,,0.14,0.01,0.01,0.0,0.02
243,大豆,大豆,4.24,0.02,0.38,0.19,0.3
244,胡萝卜,,0.4,0.0,0.01,0.0,0.11
245,黄瓜,,0.13,0.0,0.02,0.0,0.04
246,鸡蛋,鸡蛋,1.61,0.05,0.11,0.12,0.01
247,鸡蛋,鸡蛋,1.62,0.06,0.12,0.12,0.02
248,黄瓜,,0.2,0.0,0.01,0.0,0.04
249,小麦,小麦,3.0,0.02,0.12,0.01,0.7
250,花生,花生,5.6,0.02,0.24,0.5,0.18
251,猪肉,,2.27,0.13,0.21,0.15,0.0
252,牛肉,,2.56,0.26,0.26,0.17,0.01
253,牛肉,,2.51,0.27,0.27,0.15,0.01
254,牛肉,,2.36,0.25,0.24,0.15,0.0
255,大豆,大豆,4.42,0.03,0.35,0.21,0.28
256,鸡肉,,2.63,0.07,0.26,0.14,0.01
257,西红柿,,0.2,0.01,0.02,0.0,0.05
258,牛肉,,2.69,0.27,0.24,0.16,0.01
259,牛肉,,2.67,0.26,0.26,0.15,0.01
260,鸡蛋,鸡蛋,1.82,0.05,0.14,0.11,0.01
261,鸡蛋,鸡蛋,1.53,0.06,0.13,0.13,0.01
262,鸡肉,,2.3,0.06,0.26,0.15,0.01
263,花生,花生,5.43,0.03,0.24,0.5,0.16
264,大豆,大豆,4.68,0.01,0.35,0.21,0.3
265,牛肉,,2.48,0.29,0.24,0.16,0.0
266,大豆,大豆,4.27,0.02,0.38,0.21,0.29
267,黄瓜,,0.15,0.0,0.01,0.0,0.04
268,黄瓜,,0.19,0.0,0.01,0.0,0.05
269,牛肉,,2.35,0.25,0.24,0.13,0.0
270,胡萝卜,,0.41,0.02,0.01,0.01,0.1
271,牛肉,,2.39,0.26,0.28,0.14,0.0
272,牛肉,,2.5,0.28,0.24,0.13,0.01
273,西红柿,,0.22,0.01,0.01,0.01,0.03
274,牛奶,牛奶,0.43,0.02,0.03,0.01,0.05
275,牛肉,,2.72,0.28,0.25,0.15,0.01
276,小麦,小麦,3.29,0.03,0.13,0.03,0.64
277,胡萝卜,,0.4,0.02,0.01,0.0,0.09
278,白菜,,0.1,0.0,0.02,0.0,0.02
279,猪肉,,2.22,0.11,0.19,0.14,0.0
280,大豆,大豆,4.27,0.02,0.35,0.22,0.33
281,花生,花生,5.55,0.04,0.25,0.47,0.19
282,猪肉,,2.63,0.12,0.23,0.15,0.01
283,胡萝卜,,0.4,0.0,0.01,0.0,0.1
284,大豆,大豆,4.07,0.02,0.4,0.19,0.31
285,猪肉,,2.55,0.12,0.21,0.13,0.0
286,牛肉,,2.5,0.27,0.29,0.17,0.01
287,西红柿,,0.22,0.01,0.01,0.0,0.04
288,大豆,大豆,4.52,0.03,0.36,0.21,0.28
289,牛肉,,2.64,0.25,0.28,0.16,0.0
290,西红柿,,0.19,0.01,0.01,0.01,0.03
291,鸡肉,,2.68,0.08,0.26,0.16,0.0
292,鸡肉,,2.31,0.06,0.28,0.14,0.01
293,胡萝卜,,0.35,0.02,0.01,0.0,0.08
294,牛奶,牛奶,0.37,0.03,0.02,0.01,0.04
295,西红柿,,0.16,0.01,0.02,0.01,0.03
296,猪肉,,2.15,0.11,0.23,0.16,0.0
297,鸡蛋,鸡蛋,1.75,0.04,0.15,0.12,0.01
298,牛肉,,2.31,0.25,0.25,0.14,0.01
299,鸡蛋,鸡蛋,1.71,0.05,0.12,0.09,0.01
300,牛奶,牛奶,0.4,0.03,0.02,0.01,0.05
301,小麦,小麦,3.27,0.02,0.15,0.03,0.71
302,牛肉,,2.58,0.28,0.28,0.13,0.0
303,西红柿,,0.21,0.01,0.02,0.01,0.04
304,鸡肉,,2.35,0.07,0.28,0.13,0.0
305,鸡肉,,2.49,0.07,0.27,0.14,0.0
306,白菜,,0.15,0.0,0.01,0.01,0.02
307,牛肉,,2.49,0.25,0.27,0.14,0.01
308,牛肉,,2.5,0.27,0.24,0.13,0.0
309,鸡肉,,2.36,0.08,0.27,0.13,0.0
310,胡萝卜,,0.36,0.01,0.02,0.0,0.11
311,胡萝卜,,0.4,0.02,0.02,0.0,0.09
312,胡萝卜,,0.4,0.01,0.01,0.0,0.08
313,牛肉,,2.65,0.25,0.27,0.17,0.0
314,小麦,小麦,3.4,0.02,0.13,0.03,0.68
315,牛奶,牛奶,0.42,0.03,0.02,0.01,0.04
316,黄瓜,,0.15,0.01,0.02,0.01,0.04
317,牛肉,,2.36,0.29,0.29,0.17,0.0
318,黄瓜,,0.13,0.01,0.02,0.01,0.03
319,牛肉,,2.65,0.28,0.26,0.16,0.01
320,鸡肉,,2.26,0.07,0.28,0.15,0.01
321,鸡肉,,2.17,0.08,0.25,0.13,0.0
322,猪肉,,2.42,0.14,0.22,0.12,0.0
323,鸡肉,,2.38,0.07,0.28,0.13,0.0
324,胡萝卜,,0.35,0.0,0.02,0.0,0.11
325,大豆,大豆,4.57,0.01,0.38,0.18,0.32
326,大豆,大豆,4.81,0.02,0.37,0.19,0.29
327,白菜,,0.1,0.0,0.01,0.01,0.02
328,牛肉,,2.7,0.29,0.27,0.13,0.0
329,黄瓜,,0.17,0.01,0.01,0.0,0.04
330,白菜,,0.13,0.01,0.01,0.0,0.02
331,西红柿,,0.21,0.0,0.01,0.01,0.03
332,花生,花生,5.79,0.03,0.28,0.52,0.16
333,鸡蛋,鸡蛋,1.41,0.05,0.13,0.12,0.01
334,西红柿,,0.23,0.01,0.01,0.0,0.04
335,猪肉,,2.35,0.14,0.24,0.12,0.01
336,猪肉,,2.31,0.11,0.21,0.15,0.01
337,花生,花生,6.04,0.04,0.25,0.49,0.17
338,大豆,大豆,4.02,0.02,0.38,0.2,0.31
339,胡萝卜,,0.46,0.02,0.02,0.0,0.09
340,鸡蛋,鸡蛋,1.51,0.05,0.12,0.09,0.02
341,鸡肉,,2.38,0.06,0.27,0.12,0.01
342,鸡肉,,2.36,0.08,0.25,0.14,0.0
343,鸡肉,,2.21,0.07,0.28,0.13,0.0
344,花生,花生,5.62,0.04,0.24,0.48,0.16
345,小麦,小麦,3.37,0.03,0.14,0.02,0.68
346,鸡蛋,鸡蛋,1.53,0.04,0.15,0.09,0.01
347,猪肉,,2.39,0.14,0.2,0.16,0.0
348,鸡蛋,鸡蛋,1.33,0.06,0.15,0.12,0.01
349,猪肉,,2.51,0.13,0.24,0.13,0.01
350,鸡蛋,鸡蛋,1.46,0.05,0.12,0.11,0.01
351,鸡蛋,鸡蛋,1.44,0.04,0.12,0.1,0.01
352,胡萝卜,,0.45,0.01,0.01,0.01,0.1
353,鸡蛋,鸡蛋,1.65,0.05,0.13,0.1,0.01
354,白菜,,0.16,0.0,0.02,0.01,0.01
355,小麦,小麦,3.31,0.01,0.13,0.02,0.69
356,小麦,小麦,3.6,0.01,0.12,0.03,0.72
357,花生,花生,5.19,0.03,0.24,0.45,0.18
358,小麦,小麦,3.33,0.01,0.12,0.03,0.68
359,鸡肉,,2.54,0.08,0.24,0.12,0.01
360,花生,花生,5.85,0.02,0.27,0.53,0.13
361,大豆,大豆,3.88,0.03,0.35,0.22,0.32
362,白菜,,0.15,0.0,0.02,0.01,0.02
363,小麦,小麦,3.14,0.01,0.12,0.03,0.67
364,大豆,大豆,4.39,0.01,0.38,0.2,0.3
365,白菜,,0.12,0.0,0.02,0.01,0.03
366,黄瓜,,0.16,0.01,0.02,0.01,0.03
367,胡萝卜,,0.46,0.0,0.01,0.01,0.11
368,鸡蛋,鸡蛋,1.44,0.05,0.12,0.13,0.01
369,白菜,,0.1,0.01,0.02,0.0,0.03
370,牛奶,牛奶,0.45,0.01,0.03,0.02,0.05
371,西红柿,,0.19,0.01,0.02,0.01,0.03
372,白菜,,0.16,0.0,0.01,0.0,0.01
373,猪肉,,2.45,0.12,0.21,0.15,0.01
374,白菜,,0.15,0.0,0.01,0.0,0.01
375,西红柿,,0.22,0.01,0.01,0.0,0.05
376,西红柿,,0.16,0.0,0.01,0.0,0.04
377,花生,花生,5.55,0.03,0.26,0.45,0.15
378,猪肉,,2.41,0.13,0.24,0.12,0.01
379,小麦,小麦,2.97,0.03,0.11,0.02,0.69
380,鸡蛋,鸡蛋,1.77,0.04,0.12,0.12,0.02
381,牛肉,,2.61,0.29,0.28,0.16,0.01
382,猪肉,,2.59,0.13,0.22,0.15,0.01
383,鸡肉,,2.25,0.07,0.26,0.15,0.0
384,白菜,,0.15,0.01,0.01,0.01,0.02
385,猪肉,,2.39,0.1,0.24,0.13,0.0
386,鸡蛋,鸡蛋,1.32,0.05,0.15,0.13,0.01
387,鸡蛋,鸡蛋,1.27,0.04,0.13,0.11,0.01
388,黄瓜,,0.15,0.01,0.02,0.0,0.05
389,西红柿,,0.16,0.0,0.02,0.01,0.05
390,鸡肉,,2.5,0.07,0.29,0.13,0.0
391,鸡蛋,鸡蛋,1.26,0.04,0.12,0.1,0.02
392,鸡肉,,2.37,0.06,0.27,0.13,0.0
393,鸡蛋,鸡蛋,1.75,0.05,0.14,0.12,0.02
394,小麦,小麦,3.07,0.02,0.12,0.01,0.68
395,牛奶,牛奶,0.43,0.02,0.03,0.02,0.05
396,猪肉,,2.38,0.12,0.2,0.12,0.0
397,牛肉,,2.77,0.26,0.24,0.16,0.0
398,黄瓜,,0.21,0.0,0.02,0.0,0.04
399,大豆,大豆,4.1,0.02,0.38,0.2,0.3
400,胡萝卜,,0.42,0.01,0.02,0.01,0.08
401,鸡肉,,2.48,0.07,0.28,0.13,0.01
402,大豆,大豆,4.4,0.02,0.38,0.21,0.28
403,西红柿,,0.23,0.0,0.01,0.0,0.04
404,猪肉,,2.42,0.1,0.2,0.12,0.01
405,黄瓜,,0.15,0.0,0.02,0.01,0.04
406,鸡肉,,2.36,0.07,0.25,0.12,0.0
407,西红柿,,0.22,0.01,0.01,0.01,0.05
408,猪肉,,2.57,0.11,0.24,0.13,0.01
409,大豆,大豆,4.53,0.02,0.34,0.17,0.31
410,鸡肉,,2.52,0.08,0.28,0.17,0.0
411,鸡肉,,2.31,0.07,0.3,0.13,0.01
412,牛奶,牛奶,0.5,0.02,0.02,0.02,0.04
413,鸡肉,,2.22,0.07,0.27,0.13,0.0
414,猪肉,,2.22,0.11,0.21,0.15,0.01
415,黄瓜,,0.16,0.01,0.01,0.0,0.05
416,黄瓜,,0.13,0.01,0.01,0.01,0.04
417,鸡蛋,鸡蛋,1.27,0.06,0.13,0.09,0.01
418,胡萝卜,,0.39,0.02,0.01,0.01,0.11
419,西红柿,,0.25,0.0,0.01,0.0,0.05
420,鸡肉,,2.35,0.07,0.27,0.14,0.01
421,小麦,小麦,3.61,0.03,0.13,0.01,0.67
422,小麦,小麦,3.28,0.03,0.13,0.02,0.68
423,西红柿,,0.17,0.01,0.02,0.01,0.05
424,西红柿,,0.16,0.0,0.01,0.0,0.03
425,花生,花生,5.77,0.02,0.27,0.48,0.17
426,白菜,,0.14,0.0,0.02,0.01,0.01
427,胡萝卜,,0.47,0.01,0.01,0.01,0.09
428,鸡肉,,2.5,0.08,0.26,0.14,0.0
429,大豆,大豆,4.45,0.01,0.41,0.18,0.29
430,大豆,大豆,4.31,0.02,0.37,0.2,0.27
431,牛肉,,2.36,0.27,0.26,0.14,0.0
432,猪肉,,2.5,0.11,0.24,0.14,0.01
433,胡萝卜,,0.35,0.0,0.01,0.0,0.1
434,花生,花生,5.68,0.03,0.25,0.45,0.17
435,牛肉,,2.37,0.27,0.26,0.16,0.0
436,白菜,,0.15,0.01,0.02,0.0,0.02
437,大豆,大豆,4.42,0.02,0.42,0.2,0.29
438,牛肉,,2.68,0.26,0.26,0.15,0.01
439,西红柿,,0.17,0.01,0.02,0.0,0.04
440,大豆,大豆,4.7,0.02,0.39,0.19,0.29
441,猪肉,,2.47,0.12,0.23,0.13,0.01
442,鸡蛋,鸡蛋,1.78,0.05,0.12,0.1,0.02
443,鸡肉,,2.38,0.07,0.27,0.14,0.0
444,西红柿,,0.23,0.01,0.01,0.0,0.03
445,西红柿,,0.21,0.01,0.01,0.0,0.04
446,小麦,小麦,3.27,0.03,0.12,0.02,0.69
447,鸡肉,,2.17,0.06,0.27,0.14,0.0
448,牛奶,牛奶,0.43,0.03,0.02,0.01,0.05
449,鸡蛋,鸡蛋,1.23,0.05,0.13,0.12,0.01
450,猪肉,,2.34,0.12,0.23,0.15,0.01
451,黄瓜,,0.18,0.01,0.02,0.0,0.04
452,猪肉,,2.23,0.12,0.23,0.13,0.01
453,白菜,,0.15,0.01,0.02,0.01,0.02
454,黄瓜,,0.13,0.01,0.02,0.0,0.05
455,大豆,大豆,4.71,0.02,0.37,0.18,0.29
456,花生,花生,5.38,0.04,0.22,0.52,0.15
457,牛奶,牛奶,0.48,0.01,0.03,0.01,0.05
458,牛奶,牛奶,0.48,0.01,0.02,0.02,0.05
459,黄瓜,,0.17,0.0,0.01,0.0,0.04
460,白菜,,0.15,0.01,0.01,0.0,0.02
461,猪肉,,2.17,0.11,0.22,0.13,0.01
462,牛奶,牛奶,0.37,0.02,0.04,0.01,0.04
463,鸡肉,,2.29,0.08,0.25,0.13,0.0
464,鸡肉,,2.21,0.07,0.28,0.14,0.0
465,牛肉,,2.6,0.25,0.27,0.13,0.01
466,西红柿,,0.26,0.0,0.02,0.01,0.03
467,猪肉,,2.22,0.13,0.21,0.13,0.01
468,西红柿,,0.2,0.01,0.01,0.0,0.04
469,花生,花生,5.67,0.03,0.29,0.54,0.18
470,胡萝卜,,0.37,0.0,0.02,0.0,0.1
471,白菜,,0.16,0.0,0.01,0.01,0.03
472,猪肉,,2.32,0.13,0.21,0.13,0.0
473,黄瓜,,0.18,0.01,0.01,0.0,0.04
